train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.151,0.7537,0.0968,0.3305,0.0203,0.8683,0.0929,0.3239
0.0246,0.5183,0.0644,0.2004,0.0193,0.596,0.0634,0.224
0.0209,0.4214,0.0536,0.1636,0.0179,0.5255,0.0603,0.1992
0.019,0.3666,0.0472,0.1428,0.0174,0.4671,0.0522,0.1771
0.0179,0.3338,0.0432,0.1303,0.0195,0.4479,0.0504,0.1709
0.0171,0.3121,0.0406,0.122,0.0168,0.4479,0.0518,0.1704
0.0165,0.2926,0.0379,0.1145,0.0169,0.4344,0.0505,0.1656
0.0159,0.2747,0.0356,0.1077,0.0185,0.4529,0.0525,0.1729
0.0154,0.257,0.0333,0.1009,0.0176,0.4392,0.0538,0.1685
0.015,0.2456,0.0317,0.0965,0.0163,0.4245,0.0508,0.1622
0.0147,0.2337,0.0302,0.0919,0.0171,0.424,0.0522,0.1628
0.0142,0.2221,0.0286,0.0874,0.0157,0.4321,0.05,0.1643
0.0139,0.2122,0.0273,0.0836,0.016,0.4209,0.0514,0.1611
0.0136,0.2035,0.0261,0.0803,0.0159,0.4354,0.0523,0.1662
0.0134,0.196,0.0251,0.0774,0.0169,0.4228,0.0521,0.1623
0.0131,0.1877,0.0239,0.0741,0.0166,0.3975,0.0483,0.1526
0.0129,0.1818,0.0231,0.0719,0.0161,0.4261,0.0565,0.1646
0.0126,0.1755,0.0223,0.0694,0.0168,0.4398,0.0581,0.1698
0.0125,0.1723,0.0218,0.0682,0.0159,0.4039,0.0518,0.1556
0.0122,0.1635,0.0206,0.0648,0.0165,0.4552,0.0614,0.1759
0.012,0.1592,0.02,0.0631,0.0166,0.5227,0.0684,0.2005
0.0119,0.1548,0.0194,0.0614,0.0153,0.3999,0.0498,0.1534
