train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1876,0.6557,0.0992,0.311,0.0184,0.5637,0.054,0.2099
0.02,0.3984,0.0496,0.1544,0.0178,0.4203,0.0415,0.1583
0.018,0.3459,0.0434,0.1344,0.0175,0.3995,0.0423,0.1516
0.017,0.3141,0.0393,0.1223,0.0182,0.3324,0.0358,0.1275
0.0161,0.2883,0.036,0.1124,0.016,0.3109,0.0352,0.1195
0.0154,0.2678,0.0336,0.1045,0.016,0.2861,0.0314,0.11
0.0149,0.2516,0.0315,0.0983,0.0134,0.2701,0.032,0.1041
0.0144,0.2384,0.0299,0.0933,0.0142,0.2542,0.0271,0.0975
0.014,0.2259,0.0282,0.0885,0.0139,0.2436,0.0274,0.094
0.0136,0.2138,0.0266,0.0838,0.0129,0.2299,0.0252,0.0884
0.0133,0.2065,0.0257,0.081,0.0124,0.2193,0.0246,0.0846
0.013,0.197,0.0245,0.0774,0.0124,0.2037,0.0228,0.0789
0.0127,0.1892,0.0234,0.0744,0.0122,0.2082,0.023,0.0803
0.0124,0.1803,0.0223,0.0709,0.0128,0.1979,0.0226,0.077
0.0122,0.1752,0.0216,0.069,0.0111,0.1845,0.0204,0.0713
0.012,0.169,0.0208,0.0666,0.0113,0.2026,0.0235,0.0783
0.0118,0.1636,0.0201,0.0645,0.0115,0.1728,0.0199,0.0674
0.0116,0.1574,0.0193,0.0621,0.0107,0.1575,0.0176,0.0613
0.0113,0.1513,0.0185,0.0598,0.0116,0.1672,0.0177,0.0648
0.0112,0.1462,0.0178,0.0578,0.0118,0.268,0.0318,0.1028
0.011,0.1431,0.0173,0.0566,0.0119,0.205,0.0239,0.0795
0.0108,0.1379,0.0167,0.0546,0.0112,0.1499,0.0159,0.0584
0.0107,0.1338,0.0161,0.053,0.0098,0.1311,0.0145,0.0513
0.0106,0.1305,0.0157,0.0517,0.0102,0.1346,0.0145,0.0526
0.0104,0.1268,0.0152,0.0503,0.0102,0.1379,0.0153,0.0539
0.0103,0.1226,0.0146,0.0487,0.0096,0.121,0.0129,0.0474
0.0101,0.1195,0.0142,0.0475,0.0099,0.1579,0.0177,0.0612
0.01,0.1164,0.0138,0.0463,0.0096,0.1188,0.0125,0.0465
0.0099,0.1133,0.0134,0.0451,0.0093,0.1132,0.0121,0.0444
0.0098,0.1111,0.0131,0.0442,0.0091,0.1161,0.0128,0.0456
0.0097,0.1078,0.0126,0.0429,0.0091,0.1137,0.0123,0.0446
0.0095,0.1047,0.0122,0.0417,0.0091,0.1143,0.0125,0.0448
0.0094,0.1021,0.0119,0.0407,0.0089,0.1055,0.0111,0.0414
0.0094,0.1009,0.0117,0.0403,0.0086,0.1036,0.011,0.0406
0.0093,0.0978,0.0112,0.0391,0.0085,0.099,0.0105,0.0389
0.0092,0.0954,0.011,0.0381,0.0085,0.0978,0.0101,0.0384
0.0091,0.0941,0.0108,0.0376,0.0095,0.13,0.0155,0.0512
