train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.2084,0.7483,0.1049,0.3503,0.0307,0.6767,0.0736,0.2577
0.0253,0.5285,0.0633,0.2037,0.0229,0.5887,0.0693,0.2247
0.0216,0.4393,0.0542,0.17,0.0291,0.5112,0.0653,0.1998
0.0201,0.3976,0.0496,0.1542,0.0167,0.5748,0.0667,0.2172
0.0192,0.3757,0.047,0.1458,0.022,0.5073,0.0628,0.1954
0.0185,0.3579,0.045,0.139,0.0161,0.5444,0.0613,0.2052
0.0178,0.3411,0.0431,0.1327,0.016,0.4567,0.052,0.1731
0.0173,0.3256,0.0412,0.1268,0.0174,0.4701,0.0572,0.1797
0.017,0.3138,0.0398,0.1223,0.0183,0.4557,0.0533,0.174
0.0168,0.3088,0.0391,0.1203,0.0178,0.4423,0.0516,0.1689
0.0162,0.2927,0.0372,0.1142,0.0211,0.4709,0.0596,0.182
0.0159,0.2851,0.0364,0.1113,0.0166,0.4122,0.0518,0.1586
0.0157,0.2771,0.0353,0.1083,0.0176,0.4188,0.0548,0.1621
0.0156,0.2711,0.0345,0.106,0.0187,0.5994,0.075,0.2287
0.0151,0.2582,0.0331,0.1011,0.0161,0.479,0.0567,0.1821
0.0148,0.2495,0.032,0.0978,0.0164,0.4152,0.051,0.1593
0.0147,0.244,0.0312,0.0957,0.0166,0.5957,0.0758,0.2271
0.0156,0.2704,0.0347,0.1058,0.0221,0.4748,0.0623,0.1846
0.0155,0.2676,0.0343,0.1047,0.0173,0.3975,0.0516,0.1539
