train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1906,0.8079,0.1127,0.3667,0.0233,0.8091,0.0774,0.3003
0.0249,0.5187,0.0624,0.2,0.0371,0.5924,0.0808,0.2344
0.0214,0.4283,0.0528,0.1658,0.0192,0.4358,0.0464,0.1654
0.0198,0.3896,0.0484,0.1511,0.0184,0.5397,0.0572,0.203
0.0189,0.366,0.0457,0.1421,0.0183,0.4507,0.0483,0.1707
0.0182,0.3489,0.0437,0.1356,0.0174,0.4518,0.0496,0.1712
0.0176,0.3295,0.0415,0.1282,0.0154,0.4668,0.0512,0.176
0.0172,0.3154,0.0396,0.1228,0.017,0.3394,0.038,0.1301
0.0167,0.3014,0.0381,0.1175,0.0181,0.3745,0.0438,0.144
0.0164,0.289,0.0364,0.1128,0.0213,0.416,0.0496,0.1607
0.0159,0.2766,0.0351,0.1081,0.0151,0.3127,0.0339,0.1193
0.0155,0.2645,0.0336,0.1035,0.0136,0.3216,0.0369,0.1228
0.0152,0.2572,0.0327,0.1007,0.0138,0.3261,0.0354,0.1239
0.0153,0.2593,0.033,0.1015,0.0142,0.2912,0.0329,0.1116
0.0151,0.2524,0.032,0.0988,0.0143,0.3796,0.0425,0.144
0.015,0.2487,0.0316,0.0975,0.0135,0.2626,0.0283,0.1005
0.0144,0.2307,0.0293,0.0905,0.0138,0.2472,0.0268,0.095
0.0144,0.2305,0.0293,0.0905,0.0135,0.2951,0.0329,0.1127
0.014,0.219,0.0278,0.0861,0.012,0.2438,0.028,0.0936
0.0135,0.2067,0.0265,0.0814,0.0122,0.2188,0.0254,0.0846
0.0135,0.2057,0.0262,0.081,0.0125,0.222,0.0256,0.0858
0.0132,0.198,0.0252,0.078,0.0119,0.2263,0.0259,0.0872
0.013,0.1909,0.0243,0.0753,0.012,0.1956,0.0222,0.0758
0.0128,0.1864,0.0237,0.0735,0.012,0.1931,0.0207,0.0745
0.0126,0.1818,0.0231,0.0718,0.0124,0.1912,0.0204,0.0739
0.0124,0.1758,0.0223,0.0695,0.0121,0.2091,0.024,0.0809
0.0123,0.1714,0.0217,0.0678,0.0116,0.2029,0.0222,0.0781
0.0121,0.1668,0.0211,0.066,0.0122,0.1881,0.0212,0.0731
0.012,0.163,0.0205,0.0645,0.011,0.1695,0.0196,0.066
0.0119,0.1597,0.0201,0.0633,0.011,0.1688,0.0189,0.0655
0.0117,0.1555,0.0196,0.0616,0.0106,0.1613,0.0187,0.0629
0.0115,0.151,0.019,0.0599,0.0107,0.1606,0.0181,0.0625
0.0114,0.1485,0.0186,0.0589,0.0106,0.1576,0.0176,0.0613
0.0113,0.1447,0.0181,0.0574,0.0112,0.1757,0.0204,0.0684
0.0112,0.1431,0.0179,0.0568,0.0108,0.1419,0.0156,0.0556
0.0111,0.1395,0.0174,0.0554,0.0104,0.1463,0.0167,0.0572
0.011,0.1366,0.017,0.0543,0.01,0.139,0.0157,0.0543
0.0109,0.1342,0.0166,0.0534,0.0098,0.1423,0.0162,0.0556
0.0107,0.1305,0.0162,0.052,0.0098,0.1271,0.0141,0.0498
0.0107,0.1287,0.0159,0.0513,0.0105,0.1518,0.0172,0.0592
0.0107,0.1292,0.016,0.0514,0.01,0.1364,0.0149,0.0532
0.0106,0.1255,0.0154,0.05,0.0094,0.1196,0.0134,0.047
