train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.2364,0.8339,0.1214,0.3933,0.023,0.8837,0.0834,0.3267
0.0297,0.6623,0.0775,0.2539,0.0192,0.864,0.0926,0.322
0.026,0.5592,0.0675,0.2154,0.018,0.8219,0.0829,0.3045
0.0245,0.5235,0.0639,0.2019,0.0182,0.8124,0.0836,0.3017
0.0236,0.5006,0.0614,0.1932,0.0179,0.7905,0.0837,0.2944
0.0229,0.4808,0.0591,0.1858,0.0172,0.7546,0.0802,0.2811
0.0225,0.4666,0.0575,0.1804,0.0169,0.7533,0.0828,0.2815
0.0219,0.4499,0.0557,0.174,0.0169,0.7919,0.0839,0.2946
0.0215,0.4375,0.0542,0.1694,0.0171,0.6505,0.0734,0.2445
0.0211,0.423,0.0525,0.1639,0.0172,0.7912,0.0808,0.2934
0.0206,0.4105,0.0512,0.1592,0.0172,0.7111,0.0823,0.2675
0.0203,0.3984,0.0498,0.1546,0.018,0.6627,0.0755,0.2495
0.02,0.3883,0.0487,0.1508,0.0169,0.725,0.0789,0.2708
0.0197,0.3769,0.0473,0.1465,0.0163,0.6379,0.078,0.2416
0.0193,0.3672,0.0463,0.1428,0.0168,0.6782,0.0771,0.2548
0.019,0.3587,0.0454,0.1396,0.0168,0.7337,0.0836,0.2753
0.0188,0.3528,0.0446,0.1374,0.0169,0.694,0.0844,0.2625
0.0184,0.343,0.0435,0.1336,0.0169,0.6735,0.0788,0.2538
0.0182,0.3339,0.0425,0.1302,0.0164,0.6264,0.0702,0.2353
0.018,0.3271,0.0417,0.1276,0.0167,0.6642,0.0773,0.2502
0.0177,0.3198,0.0409,0.1249,0.0175,0.5856,0.0684,0.2216
0.0174,0.3114,0.0398,0.1217,0.0171,0.6431,0.0716,0.2415
0.0171,0.3036,0.039,0.1187,0.0169,0.6407,0.0746,0.2416
