train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.3358,0.895,0.2828,0.4995,0.1805,0.8357,0.4012,0.4677
0.0755,0.4291,0.3618,0.2859,0.0766,0.422,0.4419,0.3103
0.0754,0.3527,0.3129,0.2445,0.0756,0.4207,0.3943,0.2939
0.0729,0.3145,0.2694,0.2168,0.0745,0.4271,0.4402,0.3108
0.0704,0.285,0.238,0.1958,0.0733,0.4024,0.3989,0.2886
0.0678,0.2646,0.2143,0.1804,0.071,0.3679,0.4531,0.2943
0.0648,0.2417,0.194,0.1652,0.0726,0.3963,0.4473,0.3023
0.0631,0.2318,0.187,0.159,0.0684,0.3844,0.4718,0.3051
0.058,0.2059,0.1697,0.1431,0.0638,0.3643,0.4795,0.2995
0.0553,0.196,0.1614,0.1362,0.064,0.3803,0.4413,0.2922
0.0527,0.1879,0.1565,0.131,0.0626,0.4019,0.4358,0.2971
0.0509,0.181,0.1499,0.126,0.0609,0.3827,0.4038,0.2796
0.0484,0.1737,0.145,0.1211,0.0587,0.3482,0.4171,0.2719
0.0461,0.165,0.1371,0.1149,0.059,0.3711,0.5067,0.3091
0.0447,0.1617,0.137,0.1133,0.0696,0.3628,0.3709,0.2651
0.0441,0.1606,0.1369,0.1127,0.0582,0.3605,0.391,0.2672
