train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.598,0.8252,0.7857,0.729,0.0321,0.5679,0.6943,0.4271
0.0221,0.4503,0.6935,0.3847,0.0171,0.5121,0.6925,0.4031
0.0184,0.3979,0.6928,0.366,0.023,0.4221,0.6949,0.3762
0.0176,0.3764,0.6925,0.3586,0.0183,0.4295,0.693,0.3765
0.017,0.3581,0.6923,0.3522,0.0192,0.4264,0.6934,0.3759
0.0167,0.3457,0.6922,0.348,0.019,0.42,0.6933,0.3736
0.0163,0.3343,0.692,0.3441,0.0162,0.4024,0.6922,0.3666
0.0161,0.3282,0.6919,0.342,0.0164,0.3968,0.6923,0.3648
0.016,0.3223,0.6919,0.34,0.0163,0.4326,0.6922,0.3766
0.0159,0.3181,0.6918,0.3385,0.0168,0.3664,0.6925,0.355
0.0157,0.3119,0.6918,0.3364,0.0157,0.3598,0.6921,0.3523
0.0156,0.3061,0.6917,0.3344,0.0163,0.3438,0.6923,0.3473
0.0154,0.3008,0.6917,0.3326,0.0154,0.4328,0.6919,0.3763
0.0154,0.296,0.6916,0.331,0.0157,0.3568,0.692,0.3513
0.0153,0.2936,0.6916,0.3302,0.0158,0.4035,0.6921,0.3668
0.0152,0.2881,0.6916,0.3283,0.0153,0.3251,0.6919,0.3407
0.0151,0.2854,0.6915,0.3274,0.0158,0.355,0.692,0.3507
0.015,0.2816,0.6915,0.3261,0.0163,0.3959,0.6923,0.3645
