train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.4577,0.7924,0.7586,0.6629,0.0311,0.6039,0.6967,0.4394
0.021,0.4601,0.6935,0.3876,0.0226,0.4639,0.6946,0.3898
0.0185,0.4019,0.6928,0.3674,0.0222,0.4416,0.6944,0.3822
0.0176,0.375,0.6924,0.358,0.0161,0.4885,0.6922,0.3949
0.0171,0.3559,0.6923,0.3515,0.0165,0.5244,0.6923,0.407
0.0167,0.3444,0.6921,0.3476,0.0169,0.4294,0.6925,0.3758
0.0164,0.3336,0.692,0.3439,0.0177,0.4927,0.6928,0.3971
0.0161,0.324,0.6919,0.3405,0.0159,0.4063,0.6921,0.3677
0.0159,0.316,0.6918,0.3378,0.0162,0.3645,0.6921,0.354
0.0157,0.3083,0.6918,0.3352,0.0165,0.394,0.6923,0.3639
0.0156,0.3037,0.6917,0.3336,0.0163,0.343,0.6922,0.347
0.0153,0.2953,0.6916,0.3307,0.0167,0.3585,0.6924,0.3523
0.0153,0.2911,0.6916,0.3293,0.0157,0.3924,0.692,0.363
0.0151,0.2877,0.6915,0.3281,0.015,0.36,0.6917,0.352
0.0151,0.2839,0.6915,0.3269,0.016,0.3505,0.6921,0.3493
0.0149,0.2769,0.6914,0.3245,0.0152,0.3518,0.6918,0.3494
0.0147,0.2726,0.6914,0.323,0.015,0.4022,0.6917,0.3659
0.0146,0.2656,0.6913,0.3206,0.0148,0.3302,0.6916,0.3421
0.0146,0.2656,0.6913,0.3206,0.0155,0.4052,0.6919,0.3672
0.0145,0.2631,0.6913,0.3197,0.0149,0.3472,0.6916,0.3477
0.0145,0.2598,0.6913,0.3186,0.0158,0.3428,0.6921,0.3467
0.0144,0.2566,0.6912,0.3175,0.0163,0.3339,0.6922,0.344
0.0142,0.2519,0.6912,0.3159,0.0144,0.3361,0.6915,0.3439
0.0141,0.2476,0.6911,0.3144,0.0153,0.3834,0.6919,0.3599
0.014,0.2443,0.6911,0.3133,0.0159,0.3147,0.6921,0.3375
0.0139,0.2419,0.6911,0.3125,0.0161,0.3471,0.6921,0.3483
0.0139,0.2392,0.691,0.3116,0.0156,0.3071,0.6919,0.3348
0.0139,0.2367,0.691,0.3107,0.0152,0.3509,0.6918,0.3491
0.0138,0.2348,0.691,0.3101,0.0153,0.32,0.6918,0.3389
0.0137,0.2319,0.691,0.3091,0.015,0.3334,0.6917,0.3432
0.0137,0.2299,0.6909,0.3084,0.0154,0.3383,0.6919,0.345
