train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.2357,0.8695,0.1216,0.4048,0.065,0.8523,0.1609,0.3558
0.0296,0.6633,0.0768,0.254,0.0298,0.5962,0.0726,0.2305
0.023,0.4754,0.0577,0.1835,0.0219,0.5011,0.0548,0.1907
0.0204,0.4151,0.0513,0.1606,0.0186,0.4331,0.0471,0.1646
0.0192,0.3825,0.0477,0.1483,0.0179,0.4377,0.0481,0.1662
0.0184,0.3589,0.0448,0.1393,0.0214,0.3896,0.0438,0.1501
0.0178,0.3423,0.0429,0.133,0.0169,0.3709,0.0402,0.1412
0.0172,0.3274,0.0412,0.1273,0.0182,0.4158,0.0457,0.1583
0.0167,0.3127,0.0394,0.1217,0.0152,0.3786,0.0425,0.144
0.0164,0.3019,0.0379,0.1176,0.0172,0.3548,0.0393,0.1357
0.0162,0.2948,0.0371,0.1148,0.0159,0.3597,0.0433,0.1382
0.0159,0.2853,0.0358,0.1112,0.0157,0.4121,0.0488,0.1573
0.0156,0.2771,0.0347,0.1081,0.0166,0.3405,0.0379,0.1304
0.0153,0.2694,0.0339,0.1051,0.0159,0.345,0.04,0.1323
0.015,0.2594,0.0327,0.1013,0.0164,0.3863,0.0456,0.1479
0.0149,0.2543,0.0319,0.0994,0.0148,0.3778,0.0475,0.1452
0.0146,0.2473,0.031,0.0967,0.0171,0.3436,0.0423,0.133
0.0144,0.2396,0.0301,0.0937,0.0144,0.3422,0.0379,0.1302
0.0143,0.2357,0.0295,0.0922,0.0158,0.3281,0.038,0.126
0.014,0.2293,0.0287,0.0898,0.0167,0.3241,0.0391,0.1254
0.0139,0.2243,0.0282,0.0879,0.0154,0.3374,0.0423,0.1304
0.0137,0.2187,0.0273,0.0857,0.0164,0.3483,0.042,0.1342
0.0135,0.2126,0.0266,0.0834,0.0168,0.3304,0.0407,0.128
0.0133,0.206,0.0257,0.0809,0.0156,0.3622,0.0445,0.1394
0.0132,0.2035,0.0254,0.0799,0.0147,0.3317,0.04,0.1275
0.0131,0.1977,0.0245,0.0776,0.0152,0.3077,0.0378,0.119
0.013,0.1959,0.0244,0.077,0.0144,0.2976,0.0354,0.1146
