train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1748,0.6672,0.0959,0.3095,0.0311,0.5925,0.0841,0.2335
0.021,0.4189,0.0516,0.1622,0.0164,0.4286,0.0454,0.1619
0.0186,0.3609,0.045,0.1401,0.0246,0.449,0.0606,0.1763
0.0174,0.3255,0.0406,0.1266,0.016,0.3807,0.0432,0.1452
0.0166,0.3,0.0375,0.1169,0.0185,0.3173,0.0348,0.1223
0.0158,0.2778,0.0348,0.1084,0.0143,0.3002,0.0337,0.1149
0.0152,0.2606,0.0326,0.1018,0.0136,0.3159,0.0353,0.1204
0.0147,0.2461,0.0308,0.0962,0.0136,0.2634,0.0289,0.1009
0.0142,0.2319,0.029,0.0908,0.0134,0.2906,0.0326,0.1111
0.0139,0.2224,0.0278,0.0871,0.0132,0.244,0.0264,0.0936
