train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.2444,0.8242,0.1258,0.3942,0.0189,0.9352,0.0972,0.3469
0.0269,0.5887,0.0703,0.2264,0.0172,0.8471,0.1014,0.3187
0.0241,0.5194,0.0632,0.2002,0.0185,0.6111,0.0739,0.2321
0.0227,0.4853,0.0596,0.1873,0.0186,0.5843,0.0674,0.2212
0.0218,0.4566,0.0564,0.1765,0.0163,0.6372,0.078,0.2414
0.0209,0.4283,0.053,0.1657,0.0167,0.7594,0.0903,0.2859
0.0201,0.4057,0.0504,0.1571,0.0167,0.5818,0.0737,0.2218
0.0194,0.3831,0.0479,0.1486,0.0163,0.5844,0.0719,0.2219
0.0187,0.3607,0.0452,0.1401,0.0163,0.6775,0.0963,0.2607
0.0183,0.3482,0.0436,0.1354,0.0161,0.6568,0.0873,0.2509
