train_dice_loss,train_ssim_loss,train_bce_loss,train_total_loss,val_dice_loss,val_ssim_loss,val_bce_loss,val_total_loss
0.9769,0.9978,0.9769,0.9167,0.9751,0.9934,0.9751,0.8876
0.9775,0.9972,0.9775,0.9137,0.9737,0.9928,0.9737,0.8964
0.9754,0.9961,0.9754,0.8797,0.9686,0.99,0.9686,1.2371
0.9703,0.9946,0.9703,0.8489,0.9701,0.9904,0.9701,1.8388
0.9667,0.994,0.9667,0.8278,0.9724,0.9915,0.9724,24.0011
0.9695,0.9941,0.9695,0.8169,0.9737,0.9915,0.9737,32.8414
0.9781,0.9965,0.9781,0.8263,0.9731,0.9914,0.9731,32.7677
0.9737,0.996,0.9737,0.8251,0.9734,0.9914,0.9734,32.2379
0.9702,0.9953,0.9702,0.822,0.974,0.9918,0.974,32.0881
0.9702,0.9944,0.9702,0.811,0.9722,0.991,0.9722,31.2366
0.9696,0.9943,0.9696,0.8057,0.9741,0.9922,0.9741,29.7132
0.9725,0.9949,0.9725,0.7992,0.9749,0.9927,0.9749,28.2234
0.9661,0.9933,0.9661,0.8161,0.9766,0.9933,0.9766,28.2609
